f.origin_airport,ae.airport,cuenta
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),1
AKN,King Salmon Airport,1
PPG,Pago Pago International Airport (Tafuna Airport),1
RDD,Redding Municipal Airport,1
ROW,Roswell International Air Center,1
ABI,Abilene Regional Airport,1
ABY,Southwest Georgia Regional Airport,1
ACV,Arcata Airport,1
ADQ,Kodiak Airport,1
ALO,Waterloo Regional Airport,1
APN,Alpena County Regional Airport,1
BET,Bethel Airport,1
BGM,Greater Binghamton Airport,1
BJI,Bemidji Regional Airport,1
CIU,Chippewa County International Airport,1
CNY,Canyonlands Field,1
DHN,Dothan Regional Airport,1
EKO,Elko Regional Airport,1
ESC,Delta County Airport,1
EWN,Coastal Carolina Regional Airport (Craven County Regional),1
FAY,Fayetteville Regional Airport,1
FLG,Flagstaff Pulliam Airport,1
GGG,East Texas Regional Airport,1
GRI,Central Nebraska Regional Airport,1
GST,Gustavus Airport,1
HYA,Barnstable Municipal Airport,1
LAR,Laramie Regional Airport,1
LAW,Lawton-Fort Sill Regional Airport,1
MLB,Melbourne International Airport,1
PAH,Barkley Regional Airport,1
SJT,San Angelo Regional Airport (Mathis Field),1
SPS,Wichita Falls Municipal Airport/Sheppard AFB,1
SUX,Sioux Gateway Airport,1
TRI,Tri-Cities Regional Airport,1
TWF,Magic Valley Regional Airport (Joslin Field),1
TXK,Texarkana Regional Airport (Webb Field),1
VEL,Valdez Airport,1
WYS,Westerly State Airport,1
YUM,Yuma International Airport,1
